purchase_time,total
2017-06-06,133
2018-05-31,133
2017-12-17,133
2017-12-29,133
2018-05-23,132
2017-07-28,132
2017-09-25,132
2018-07-10,132
2017-12-16,131
2017-10-27,131
2017-06-14,130
2017-10-29,129
2017-09-16,127
2017-06-02,126
2017-05-11,126
2018-07-11,126
2017-08-24,126
2017-10-01,126
2017-05-18,125
2017-09-17,125
2017-06-12,125
2017-05-02,125
2017-10-06,125
2017-06-01,124
2017-06-13,124
2017-09-03,124
2017-06-07,124
2017-05-23,124
2017-10-08,124
2017-05-09,124
2018-06-30,124
2017-07-04,123
2017-07-27,123
2017-05-31,123
2017-04-26,123
2017-05-08,122
2017-07-26,121
2018-07-06,121
2017-08-25,121
2018-07-08,120
2017-10-15,120
2017-06-28,120
2017-10-20,119
2017-11-02,119
2017-08-27,118
2018-07-12,118
2017-07-30,117
2017-09-29,116
2017-07-07,116
2017-05-01,116
2017-07-03,116
2017-10-14,115
2017-05-10,115
2018-05-24,114
2017-04-24,114
2017-08-05,114
2017-07-29,114
2017-09-08,114
2017-03-20,114
2017-06-11,113
2017-07-21,113
2017-09-24,112
2017-08-23,111
2017-07-16,111
2017-04-25,111
2017-11-04,111
2017-03-23,110
2017-12-22,110
2017-06-29,110
2017-05-14,110
2017-02-07,110
2017-05-12,110
2017-05-05,110
2017-05-07,109
2017-09-30,109
2017-11-01,109
2017-03-27,109
2017-05-04,108
2017-08-06,108
2017-03-13,108
2017-10-21,108
2017-08-19,107
2017-05-06,107
2017-03-15,107
2017-12-23,107
2017-06-09,106
2017-06-23,106
2017-09-09,106
2017-06-25,105
2017-03-22,105
2017-06-15,105
2017-07-02,104
2017-09-02,104
2017-07-23,104
2017-05-25,104
2018-05-25,103
2017-08-20,103
2017-03-16,102
2017-10-07,102
2017-05-03,102
2017-06-04,101
2017-05-30,100
2018-05-27,100
2017-03-28,100
2018-05-26,99
2017-03-14,98
2017-03-06,98
2017-04-28,98
2017-05-28,98
2017-07-15,98
2017-04-19,97
2017-09-07,97
2018-08-24,97
2017-04-05,96
2017-04-04,96
2017-04-20,96
2017-12-30,96
2017-04-06,95
2017-06-16,95
2017-03-01,95
2017-08-12,95
2017-08-26,93
2017-06-30,93
2017-03-09,92
2017-03-21,92
2017-06-20,92
2018-07-07,91
2017-08-13,91
2017-12-25,90
2017-06-03,89
2017-02-08,89
2017-06-18,88
2017-07-09,88
2017-07-22,88
2017-10-28,86
2017-04-10,86
2017-03-10,86
2017-06-22,86
2017-04-23,85
2017-01-26,84
2017-04-07,84
2017-09-23,84
2017-07-08,83
2017-04-22,83
2017-02-06,81
2017-07-01,80
2017-03-07,80
2017-05-27,79
2017-04-27,78
2017-05-26,78
2017-04-11,77
2017-03-08,77
2017-02-09,77
2017-03-04,76
2017-06-10,76
2017-06-24,76
2017-03-24,76
2017-02-13,75
2017-02-05,75
2017-06-17,74
2017-03-25,74
2017-03-30,74
2017-12-31,73
2017-03-18,73
2017-03-29,73
2018-01-01,73
2018-08-26,73
2017-04-29,73
2017-06-26,72
2017-05-20,72
2017-04-03,72
